연도,자치구,인구,발생건수,인구 수 대비 사고비율
2007,강남구,569176,3135,0.5507962387732441
2007,강동구,469021,1400,0.2984940972792263
2007,강북구,348702,1172,0.336103607091442
2007,강서구,566495,1652,0.2916177547904218
2007,관악구,550766,1732,0.31447111840600184
2007,광진구,386367,1576,0.4079023312032342
2007,구로구,445095,1403,0.31521360608409443
2007,금천구,264323,805,0.3045516281216542
2007,노원구,621192,1618,0.2604669731741555
2007,도봉구,378559,742,0.19600643492824105
2007,동대문구,385825,1677,0.4346530162638502
2007,동작구,414839,1021,0.24611957892097897
2007,마포구,400392,1344,0.3356710423784691
2007,서대문구,357174,971,0.27185629413115175
2007,서초구,411951,1677,0.407087250668162
2007,성동구,341620,1135,0.33224050114161935
2007,성북구,477358,1321,0.2767315096845554
2007,송파구,630691,2376,0.37672965049445767
2007,양천구,508566,1126,0.22140685771364974
2007,영등포구,439151,2093,0.47660144232849294
2007,용산구,248362,1212,0.4879973586941641
2007,은평구,463473,1244,0.2684082999441176
2007,종로구,173843,1529,0.8795292303975426
2007,중구,137435,1370,0.9968348673918579
2007,중랑구,431406,1980,0.45896440939625316
2008,강남구,565624,2972,0.5254373930384849
2008,강동구,473973,1572,0.3316644618997284
2008,강북구,345754,1268,0.36673473047311095
2008,강서구,583545,1907,0.32679570555826887
2008,관악구,551873,1778,0.32217557300320904
2008,광진구,387254,1534,0.3961224416016361
2008,구로구,448696,1479,0.32962183750245155
2008,금천구,265244,889,0.3351630951124248
2008,노원구,620808,1634,0.26320537106480585
2008,도봉구,376698,972,0.2580316327668318
2008,동대문구,381663,1597,0.4184319674686831
2008,동작구,410934,898,0.21852657604384157
2008,마포구,393241,1584,0.4028064215074217
2008,서대문구,340731,998,0.29289967745817086
2008,서초구,412065,1854,0.4499290160532926
2008,성동구,322679,1087,0.33686728916353403
2008,성북구,481419,1687,0.35042239712184187
2008,송파구,676580,2472,0.36536699281681395
2008,양천구,507899,1454,0.28627738979600276
2008,영등포구,443537,2048,0.4617427632869411
2008,용산구,251043,1170,0.4660556159701725
2008,은평구,463364,1500,0.3237195811500246
2008,종로구,179754,1478,0.8222348320482437
2008,중구,138811,1365,0.9833514635007312
2008,중랑구,432845,1903,0.4396492970924927
2009,강남구,569499,3509,0.6161556034338954
2009,강동구,489655,1423,0.29061277838478117
2009,강북구,343912,1294,0.3762590430110028
2009,강서구,579196,1852,0.31975358945849075
2009,관악구,547311,1843,0.33673724810939304
